6,-27.0,100.0,3,14,1
6,-27.0,100.0,4,23,6
6,-27.0,100.0,5,24,0
3,-30.0,90.0,0,24,2
3,-30.0,90.0,1,24,13
3,-30.0,90.0,2,24,1
8,-27.0,100.0,0,23,1
8,-27.0,100.0,1,22,1
8,-27.0,100.0,2,19,0
8,-27.0,100.0,3,16,0
8,-27.0,100.0,4,16,4
8,-27.0,100.0,5,15,6
8,-27.0,100.0,6,22,1
8,-27.0,100.0,7,24,0
3,-30.0,100.0,0,24,2
3,-30.0,100.0,1,24,13
3,-30.0,100.0,2,24,0
6,-27.0,110.0,0,20,0
6,-27.0,110.0,1,17,1
6,-27.0,110.0,2,19,6
6,-27.0,110.0,3,17,3
6,-27.0,110.0,4,23,1
6,-27.0,110.0,5,24,1
3,-30.0,110.0,0,24,2
3,-30.0,110.0,1,24,14
3,-30.0,110.0,2,24,1
8,-27.0,110.0,0,19,2
8,-27.0,110.0,1,24,4
8,-27.0,110.0,2,22,3
8,-27.0,110.0,3,20,1
8,-27.0,110.0,4,15,1
8,-27.0,110.0,5,14,1
8,-27.0,110.0,6,19,0
8,-27.0,110.0,7,24,1
3,-30.0,120.0,0,24,2
3,-30.0,120.0,1,24,14
3,-30.0,120.0,2,24,0
8,-27.0,120.0,0,24,1
8,-27.0,120.0,1,23,1
8,-27.0,120.0,2,15,0
8,-27.0,120.0,3,19,0
8,-27.0,120.0,4,21,3
8,-27.0,120.0,5,15,3
8,-27.0,120.0,6,15,4
8,-27.0,120.0,7,24,0
6,-27.0,120.0,0,23,1
6,-27.0,120.0,1,18,5
6,-27.0,120.0,2,24,1
6,-27.0,120.0,3,15,4
6,-27.0,120.0,4,15,0
6,-27.0,120.0,5,24,0
3,-27.0,80.0,0,24,3
3,-27.0,80.0,1,24,14
3,-27.0,80.0,2,24,1
8,-24.0,80.0,0,22,1
8,-24.0,80.0,1,14,1
8,-24.0,80.0,2,23,1
8,-24.0,80.0,3,18,4
8,-24.0,80.0,4,15,5
8,-24.0,80.0,5,21,0
8,-24.0,80.0,6,20,1
8,-24.0,80.0,7,24,0
3,-27.0,90.0,0,24,3
3,-27.0,90.0,1,24,14
3,-27.0,90.0,2,24,0
6,-24.0,80.0,0,23,0
6,-24.0,80.0,1,17,1
6,-24.0,80.0,2,16,2
6,-24.0,80.0,3,15,5
6,-24.0,80.0,4,24,3
6,-24.0,80.0,5,24,0
3,-27.0,100.0,0,24,2
3,-27.0,100.0,1,24,16
3,-27.0,100.0,2,24,0
3,-27.0,110.0,0,24,3
3,-27.0,110.0,1,24,14
3,-27.0,110.0,2,24,0
