24,3,24,4
24,2,14,0
24,1,15,2
24,2,16,0
24,1,16,0
24,4,22,2
24,2,18,4
24,3,19,0
24,3,18,0
24,3,22,6
24,2,20,5
24,2,17,0
24,3,21,0
24,4,23,1
24,3,20,5
24,2,19,5
24,3,23,6
24,4,24,0
24,2,15,0
24,1,14,0
24,3,24,5
24,0,14,2
24,0,16,2
24,0,15,2
24,0,17,2
24,0,18,3
24,0,19,4
24,2,23,3
24,2,24,3
24,0,20,6
24,1,24,8
24,1,22,2
24,0,21,2
24,1,23,8
24,0,22,4
24,1,21,4
24,0,23,5
24,0,24,5
24,3,24,3
24,0,14,1
24,0,15,3
24,0,16,0
24,0,17,0
24,0,18,3
24,0,19,1
24,0,20,3
24,0,21,2
24,1,21,2
24,1,22,1
24,0,22,0
24,1,23,3
24,2,23,1
24,0,23,0
24,2,24,0
24,3,23,3
24,2,21,6
24,2,22,3
24,1,20,1
24,3,22,0
24,1,24,0
24,0,14,1
24,3,24,2
24,0,15,2
24,0,16,0
24,0,17,1
24,0,18,1
24,2,21,2
24,2,22,2
24,0,19,2
24,0,20,1
24,1,20,2
24,1,21,2
24,1,19,2
24,2,19,2
24,2,20,1
24,2,23,2
24,1,18,1
24,2,24,2
24,3,22,6
24,3,23,1
24,4,24,5
24,0,14,2
24,0,15,2
24,0,16,1
24,0,17,2
24,0,18,1
24,0,19,1
24,0,20,0
24,2,24,0
24,0,21,1
24,2,23,7
24,1,22,1
24,0,22,7
24,1,23,8
24,3,24,0
24,1,21,6
24,0,24,7
24,2,22,6
24,0,23,0
24,1,24,2
24,1,20,1
24,4,24,4
24,0,14,0
24,0,15,1
24,0,16,3
24,0,17,4
24,0,18,3
24,0,19,3
24,1,21,2
24,0,20,3
24,1,20,2
24,1,22,6
24,0,21,0
24,2,22,2
24,3,24,3
24,0,22,7
24,1,23,0
24,2,23,0
24,2,24,3
24,3,22,7
24,1,19,3
24,3,23,0
24,2,21,1
24,4,24,1
14,0,22,0
16,0,20,0
15,3,24,0
17,0,19,0
16,2,24,1
14,2,24,0
15,0,21,0
18,6,24,0
17,2,24,1
19,7,24,0
18,2,24,0
20,8,24,0
19,2,24,1
21,9,24,0
20,2,24,1
22,10,24,0
21,2,24,1
23,11,24,0
22,3,24,1
24,11,23,0
23,3,24,2
23,10,23,0
22,9,23,0
21,8,23,0
14,1,24,0
20,7,23,0
19,6,23,0
24,11,24,1
24,10,22,0
14,0,23,0
15,1,24,1
15,0,22,1
14,1,23,0
15,2,24,1
15,0,23,1
23,10,24,1
16,0,21,0
23,9,22,0
14,0,24,0
24,10,23,0
21,7,23,0
22,9,24,1
22,8,22,0
24,10,24,0
22,8,23,0
16,0,22,0
20,6,23,1
21,7,24,1
22,6,23,0
18,5,23,0
24,9,22,1
23,9,23,0
21,8,24,1
21,7,22,0
17,0,20,0
21,6,23,1
15,1,23,0
22,5,24,0
16,0,24,1
16,0,23,1
17,5,24,0
19,2,20,0
24,9,23,0
22,7,23,1
16,1,24,1
20,7,24,1
17,0,22,1
20,5,23,1
24,7,23,0
23,8,24,1
23,8,23,0
21,4,23,0
15,0,24,0
20,6,22,0
23,9,24,1
18,0,19,0
19,0,23,0
17,0,24,0
19,4,23,0
22,7,24,1
19,3,20,0
23,8,22,0
19,5,22,0
23,7,24,1
23,7,23,0
22,8,24,0
24,9,24,3
24,8,24,0
18,5,24,0
21,6,24,3
22,7,22,1
24,8,23,0
17,0,23,2
21,5,23,1
24,8,22,1
18,1,22,0
20,3,23,0
18,4,23,1
24,6,23,0
24,4,24,0
14,0,22,0
16,0,20,0
15,3,24,0
17,0,19,0
16,3,24,1
14,2,24,0
15,0,21,0
18,6,24,0
17,2,24,3
19,7,24,0
18,2,24,2
20,8,24,0
19,2,24,3
21,9,24,0
20,2,24,2
22,10,24,0
21,2,24,2
24,11,23,0
23,11,24,0
23,3,24,3
22,3,24,3
23,10,23,0
14,1,24,1
22,9,23,0
21,8,23,0
20,7,23,0
14,0,23,0
15,1,24,1
15,2,24,0
14,1,23,0
19,6,23,0
15,0,22,1
24,11,24,0
24,10,22,0
14,0,24,2
15,0,23,2
16,0,21,0
23,10,24,1
20,7,24,0
21,7,23,0
23,9,22,0
22,8,23,1
22,9,24,0
16,0,22,2
24,10,23,1
22,8,22,0
15,1,23,1
21,7,24,1
23,9,23,0
17,0,20,0
18,5,24,0
18,3,21,0
16,0,24,2
16,1,24,0
21,8,24,0
17,0,21,0
21,7,22,0
24,10,24,1
16,0,23,2
21,6,23,1
24,9,24,0
15,0,24,1
24,9,22,1
22,7,23,0
20,5,23,0
19,5,23,1
24,9,23,0
23,6,24,0
24,7,24,0
23,8,23,1
24,8,23,2
21,5,24,0
20,4,23,0
17,0,22,1
24,8,24,1
19,3,23,1
23,8,24,0
19,5,22,0
23,9,24,2
18,1,19,0
20,5,21,0
22,7,24,2
19,4,23,0
19,1,20,0
19,6,24,1
23,8,22,1
23,7,24,0
23,7,23,2
17,1,24,3
18,0,23,1
22,8,24,1
17,3,23,0
21,6,24,1
20,6,23,1
22,6,23,2
22,7,22,1
24,6,24,1
18,0,22,2
20,5,22,1
24,4,24,6
19,7,24,0
20,8,24,0
19,2,24,2
21,9,24,0
20,2,24,4
22,10,24,0
21,3,24,6
23,11,24,0
24,12,24,0
22,3,24,2
23,3,24,2
24,11,23,0
23,10,23,0
22,9,23,0
21,8,23,0
20,7,23,0
19,6,23,0
24,11,24,1
24,10,22,0
23,10,24,0
23,9,22,0
22,8,23,1
23,9,23,1
20,7,24,1
22,8,24,0
22,9,24,1
